laboratory	provider_npi	claim_id_count
Lab A	1497727150	465
Lab A	1285050062	443
Lab A	1194180562	380
Lab A	1952636714	372
Lab A	1639593874	337
Lab A	1053973099	273
Lab A	1861429482	269
Lab A	1053309286	246
Lab A	1902018757	239
Lab A	1104379403	228
Lab B	1043572746	212
Lab A	1396776324	190
Lab B	1447636246	181
Lab A	1083685408	176
Lab A	1194975037	166
Lab A	1952509291	157
Lab A	1801162656	154
Lab B	1275902736	153
Lab A	1811332786	152
Lab A	1962883140	147
Lab A	1972656700	143
Lab A	1699904912	136
Lab A	1982014049	135
Lab A	1679905020	134
Lab A	1417900317	132
Lab A	1376689059	128
Lab A	1083154470	121
Lab A	1265666549	121
Lab A	1396753257	120
Lab A	1174022586	110
Lab D	 1740385426	110
Lab A	1114992104	109
Lab A	1376886895	104
Lab A	1003291584	102
Lab A	1811300999	99
Lab A	1336313782	97
Lab A	1275944183	92
Lab B	1720464175	88
Lab A	1609042472	86
Lab A	1174840615	85
Lab B	1891174546	85
Lab A	1548682230	82
Lab A	1083679393	82
Lab A	1558709089	81
Lab D	1558833921	80
Lab D	1205130309	80
Lab A	1699901363	79
Lab B	1295895571	79
Lab D	1720347206	79
Lab A	1407242969	76
Lab A	1447625686	76
Lab A	1518964600	74
Lab B	1568889798	73
Lab A	1821432923	71
Lab B	1003250176	69
Lab A	1679941736	68
Lab A	1043569437	67
Lab A	1235165325	66
Lab A	1376567388	66
Lab B	1245612696	65
Lab B	1578781761	63
Lab A	1952451916	62
Lab D	1376627968	61
Lab A	1619921350	60
Lab B	1699050492	60
Lab B	1790164820	60
Lab B	1417941840	59
Lab A	1730456682	57
Lab A	1194862417	54
Lab D	1841385408	54
Lab A	1457321333	54
Lab B	1467712950	54
Lab A	1689678278	54
Lab B	1912990375	53
Lab A	1003071499	53
Lab D	1689812695	52
Lab A	1588721237	52
Lab A	1912982422	52
Lab B	1043668940	51
Lab A	1891806295	51
Lab A	1568438836	50
Lab A	1902881006	50
Lab D	1811217078	50
Lab A	1225104235	49
Lab A	1538666268	49
Lab A	1376506444	49
Lab B	1770027526	49
Lab B	1073088191	48
Lab B	1114220605	46
Lab A	1588057293	46
Lab A	1104237361	45
Lab B	1760431464	45
Lab B	1861817090	45
Lab B	1821073701	44
Lab D	1285602086	44
Lab B	1891128336	43
Lab A	1083740187	43
Lab D	1366601387	42
Lab A	1194786079	42
Lab D	1013229293	41
Lab B	1528457397	41
Lab A	1003138256	40
Lab A	1679543557	40
Lab A	1114436672	40
Lab B	1396271425	39
Lab A	1376884304	39
Lab D	1831273457	39
Lab A	1023308525	39
Lab A	1114997988	39
Lab A	1588648208	38
Lab B	1285033043	38
Lab B	1639151376	38
Lab B	1649263088	38
Lab D	1962737320	38
Lab B	1215414669	38
Lab A	1558341099	37
Lab B	1821587924	36
Lab B	17902O8619	36
Lab B	1386948347	35
Lab A	1356570055	35
Lab B	1467996553	35
Lab A	1861673667	34
Lab H	1770027526	34
Lab H	1073088191	34
Lab D	1871905620	34
Lab B	1346723038	33
Lab A	1578714986	33
Lab D	1073098315	33
Lab A	1306803077	33
Lab A	1316925472	32
Lab D	1558676049	32
Lab D	1467019091	31
Lab B	1740385426	31
Lab B	1093056053	31
Lab B	1255322269	30
Lab B	1881129427	30
Lab A	1629123302	30
Lab A	1831149079	30
Lab D	1063069987	29
Lab D	1508123183	29
Lab B	1902061898	29
Lab B	1700305166	28
Lab A	1356851067	28
Lab B	1154796498	28
Lab D	1528399714	28
Lab D	1972991511	28
Lab D	1558565028	27
Lab B	1538722616	27
Lab B	1154700219	27
Lab A	1720251291	27
Lab B	1558302307	27
Lab F	1528457397	27
Lab B	1871064493	26
Lab G	1699050492	26
Lab A	1952797508	26
Lab A	1861488157	25
Lab A	1730355488	25
Lab B	1194228551	25
Lab B	1942615869	24
Lab D	1598793036	24
Lab A	1881677540	24
Lab B	1063684934	24
Lab B	1083103188	24
Lab D	1710250329	24
Lab D	1487688396	24
Lab D	1679513493	23
Lab D	1134403082	23
Lab B	1285963157	23
Lab G	1861817090	23
Lab B	1134432313	23
Lab A	1255328787	23
Lab B	1457637860	23
Lab H	1467996553	23
Lab B	1902995376	22
Lab D	1265433445	22
Lab B	1518334028	22
Lab A	1891286944	22
Lab D	1063507762	22
Lab A	1407296361	22
Lab A	1457405847	21
Lab D	1134223340	21
Lab A	1033230800	21
Lab D	1801056981	21
Lab B	1669586442	21
Lab F	1245612696	21
Lab D	1497017354	21
Lab D	1053611566	21
Lab A	1902824626	21
Lab D	1699750307	21
Lab D	1053720201	21
Lab D	1104833987	20
Lab D	1134577810	20
Lab A	1417207283	20
Lab D	1588698187	20
Lab I	1710962287	20
Lab D	1235106386	20
Lab D	1598731903	20
Lab D	1063684934	20
Lab D	1811314115	19
Lab D	1073928438	19
Lab A	1154641538	19
Lab D	1750937488	19
Lab B	1558686352	19
Lab A	1881635779	19
Lab D	1871561456	19
Lab B	1669582870	19
Lab D	1447561899	19
Lab D	1942474283	19
Lab A	1285684001	18
Lab A	1821151309	18
Lab B	1578942611	18
Lab A	1497760995	18
Lab A	1669561072	18
Lab D	1467000208	17
Lab F	1134432313	17
Lab D	1285854653	17
Lab B	1992021745	17
Lab A	1801859574	17
Lab B	1114494291	17
Lab B	1780196220	17
Lab D	1568578870	17
Lab D	1174569156	17
Lab J	1881129427	17
Lab H	1639570120	17
Lab A	1881621290	17
Lab D	1689722654	16
Lab D	1992104418	16
Lab D	1891059333	16
Lab D	1295044691	16
Lab D	1740385426	16
Lab F	1194228551	16
Lab D	1750365409	16
Lab A	1487826244	16
Lab B	1053715326	16
Lab A	1518934751	16
Lab B	1730743667	15
Lab A	1144292590	15
Lab B	1639570120	15
Lab H	1992021745	15
Lab D	1154860344	15
Lab D	1588630073	15
Lab A	1932298494	15
Lab J	1760431464	15
Lab A	1568766251	15
Lab D	1417134222	15
Lab D	1821292608	15
Lab D	1891021184	15
Lab A	1124090865	15
Lab D	1790164028	15
Lab B	1972697167	15
Lab B	1366601387	14
Lab D	1366414054	14
Lab H	1942615869	14
Lab D	1447636246	14
Lab H	1255322269	14
Lab B	1962852723	14
Lab B	1679822266	14
Lab C	1679822266	14
Lab D	1063738870	14
Lab D	1134157332	14
Lab A	1356707525	14
